id,zip,lat,lng,city,state_id,state_name,county_name,county_names_all,timezone
190,1081,42.06234,-72.23095,Wales,MA,Massachusetts,Hampden,Hampden,America/New_York
191,1082,42.2948,-72.27776,Ware,MA,Massachusetts,Hampshire,Hampshire|Worcester,America/New_York
192,1083,42.20382,-72.19495,Warren,MA,Massachusetts,Worcester,Worcester,America/New_York
193,1084,42.39038,-72.88089,West Chesterfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
194,1085,42.15371,-72.76958,Westfield,MA,Massachusetts,Hampden,Hampden,America/New_York
195,1086,42.13044,-72.79402,Westfield,MA,Massachusetts,Hampden,Hampden,America/New_York
196,1088,42.39012,-72.6478,West Hatfield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
197,1089,42.12534,-72.65027,West Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
198,1092,42.19972,-72.23727,West Warren,MA,Massachusetts,Worcester,Worcester,America/New_York
199,1093,42.43438,-72.65305,Whately,MA,Massachusetts,Franklin,Franklin,America/New_York
200,1094,42.35945,-72.13847,Wheelwright,MA,Massachusetts,Worcester,Worcester,America/New_York
201,1095,42.12764,-72.42993,Wilbraham,MA,Massachusetts,Hampden,Hampden,America/New_York
202,1096,42.40418,-72.76819,Williamsburg,MA,Massachusetts,Hampshire,Hampshire,America/New_York
203,1097,42.17603,-72.8313,Woronoco,MA,Massachusetts,Hampden,Hampden,America/New_York
204,1098,42.3946,-72.94242,Worthington,MA,Massachusetts,Hampshire,Hampshire,America/New_York
205,1103,42.104,-72.5921,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
206,1104,42.13404,-72.56679,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
207,1105,42.09917,-72.57899,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
208,1106,42.04791,-72.57176,Longmeadow,MA,Massachusetts,Hampden,Hampden,America/New_York
209,1107,42.12129,-72.6055,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
210,1108,42.08055,-72.55983,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
211,1109,42.11837,-72.54875,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
212,1118,42.09476,-72.52533,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
213,1119,42.12455,-72.51122,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
214,1128,42.09488,-72.48814,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
215,1129,42.121,-72.48773,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
216,1151,42.15295,-72.50881,Indian Orchard,MA,Massachusetts,Hampden,Hampden,America/New_York
217,1199,42.12065,-72.6045,Springfield,MA,Massachusetts,Hampden,Hampden,America/New_York
218,1201,42.44993,-73.27644,Pittsfield,MA,Massachusetts,Berkshire,Berkshire,America/New_York
219,1220,42.62372,-73.11718,Adams,MA,Massachusetts,Berkshire,Berkshire,America/New_York
220,1222,42.05899,-73.32081,Ashley Falls,MA,Massachusetts,Berkshire,Berkshire,America/New_York
221,1223,42.31176,-73.0994,Becket,MA,Massachusetts,Berkshire,Berkshire,America/New_York
222,1224,42.50661,-73.19746,Berkshire,MA,Massachusetts,Berkshire,Berkshire,America/New_York
223,1225,42.56267,-73.15484,Cheshire,MA,Massachusetts,Berkshire,Berkshire,America/New_York
224,1226,42.48168,-73.13992,Dalton,MA,Massachusetts,Berkshire,Berkshire,America/New_York
225,1229,42.27796,-73.33212,Glendale,MA,Massachusetts,Berkshire,Berkshire,America/New_York
226,1230,42.18475,-73.3437,Great Barrington,MA,Massachusetts,Berkshire,Berkshire,America/New_York
227,1235,42.42975,-73.07241,Hinsdale,MA,Massachusetts,Berkshire,Berkshire,America/New_York
228,1236,42.26658,-73.3767,Housatonic,MA,Massachusetts,Berkshire,Berkshire,America/New_York
229,1237,42.54971,-73.26265,Lanesborough,MA,Massachusetts,Berkshire,Berkshire,America/New_York
230,1238,42.29522,-73.2288,Lee,MA,Massachusetts,Berkshire,Berkshire,America/New_York
231,1240,42.37208,-73.27645,Lenox,MA,Massachusetts,Berkshire,Berkshire,America/New_York
232,1242,42.33328,-73.24921,Lenox Dale,MA,Massachusetts,Berkshire,Berkshire,America/New_York
233,1243,42.35146,-73.02323,Middlefield,MA,Massachusetts,Hampshire,Hampshire,America/New_York
234,1244,42.11608,-73.2627,Mill River,MA,Massachusetts,Berkshire,Berkshire,America/New_York
235,1245,42.18815,-73.2189,Monterey,MA,Massachusetts,Berkshire,Berkshire,America/New_York
236,1247,42.69547,-73.07997,North Adams,MA,Massachusetts,Berkshire,Berkshire,America/New_York
237,1253,42.21187,-73.11616,Otis,MA,Massachusetts,Berkshire,Berkshire,America/New_York
